name,bitdepth,rmse,psnr,compressed_size,bpp,compression_ratio,ssim
I65_q10_rec,16,922.506,37.03,100591,3.0698,5.21,
I65_q30_rec,16,922.5172,37.03,58104,1.7732,9.02,
I65_q60_rec,16,922.5399,37.03,39438,1.2036,13.29,
I66_q10_rec,16,922.506,37.03,99999,3.0517,5.24,
I66_q30_rec,16,922.5172,37.03,57552,1.7563,9.11,
I66_q60_rec,16,922.5397,37.03,39045,1.1916,13.43,
I67_q10_rec,16,922.506,37.03,100403,3.0641,5.22,
I67_q30_rec,16,922.5172,37.03,58167,1.7751,9.01,
I67_q60_rec,16,922.54,37.03,38989,1.1898,13.45,
I68_q10_rec,16,922.506,37.03,100003,3.0518,5.24,
I68_q30_rec,16,922.5171,37.03,57803,1.764,9.07,
I68_q60_rec,16,922.5397,37.03,38900,1.1871,13.48,
I69_q10_rec,16,922.506,37.03,99801,3.0457,5.25,
I69_q30_rec,16,922.5171,37.03,57441,1.753,9.13,
I69_q60_rec,16,922.5394,37.03,38874,1.1863,13.49,
I6_q10_rec,16,922.506,37.03,104499,3.1891,5.02,
I6_q30_rec,16,922.5169,37.03,64181,1.9586,8.17,
I6_q60_rec,16,922.5428,37.03,46610,1.4224,11.25,
I70_q10_rec,16,922.506,37.03,99368,3.0325,5.28,
I70_q30_rec,16,922.5171,37.03,57209,1.7459,9.16,
I70_q60_rec,16,922.5393,37.03,38995,1.19,13.45,
I71_q10_rec,16,922.506,37.03,99132,3.0253,5.29,
I71_q30_rec,16,922.517,37.03,57151,1.7441,9.17,
I71_q60_rec,16,922.5396,37.03,38613,1.1784,13.58,
I72_q10_rec,16,922.506,37.03,98700,3.0121,5.31,
I72_q30_rec,16,922.517,37.03,56694,1.7302,9.25,
I72_q60_rec,16,922.5394,37.03,38633,1.179,13.57,
I73_q10_rec,16,922.506,37.03,98229,2.9977,5.34,
I73_q30_rec,16,922.5169,37.03,56463,1.7231,9.29,
I73_q60_rec,16,922.5389,37.03,38291,1.1685,13.69,
I74_q10_rec,16,922.506,37.03,98038,2.9919,5.35,
I74_q30_rec,16,922.5169,37.03,56323,1.7188,9.31,
I74_q60_rec,16,922.5387,37.03,38346,1.1702,13.67,
I75_q10_rec,16,922.506,37.03,97357,2.9711,5.39,
I75_q30_rec,16,922.5167,37.03,55929,1.7068,9.37,
I75_q60_rec,16,922.5383,37.03,38344,1.1702,13.67,
I76_q10_rec,16,922.506,37.03,96306,2.939,5.44,
I76_q30_rec,16,922.5165,37.03,55113,1.6819,9.51,
I76_q60_rec,16,922.5375,37.03,37664,1.1494,13.92,
